Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Croatia	MAKARSKA;19.0	MAKARSKA;22.2	PALAGRUZA;16.2	ZAVIZAN;2630.94	ZAVIZAN;22.6	Zagreb / Pleso;204.0	ZAVIZAN;78.0	DUBROVNIK-CILIPI;89.0	ZAVIZAN;200.0	PULA;2.0	PARG;10.0
Cuba	Guantanamo, Oriente;28.2	Guantanamo, Oriente;33.1	Cayo Largo Del Sur;25.3	Camaguey Aeropuerto;1961.66	Nueva Gerona, Isla De Pinos;24.5	Camaguey Aeropuerto;158.0	Camaguey Aeropuerto;4.0	BAHIA HONDA PINAR D;123.0	Holguin Civ / Mil;297.0	Guantanamo, Oriente;4.0	Aeropuerto Jose Marti, Rancho-Boyeros, Habana;4.0
Cyprus	Athalassa;23.4	Ercan;26.8	Akrotiri;16.5	Larnaca Airport;704.33	Akrotiri;15.3	Paphos Airport;109.0	Larnaca Airport;3.0	Paphos Airport;50.0	Larnaca Airport;41.0	Larnaca Airport;4.0	Akrotiri;4.0
Czech Republic	Brno / Turany;11.2	Brno / Turany;15.6	Brno / Turany;6.8	Praga / Ruzyne;955.35	Praga / Ruzyne;20.0	Praga / Ruzyne;228.0	Karlovy Vary;97.0	Praga / Ruzyne;44.0	Karlovy Vary;100.0	Ostrava / Mosnov;1.0	Karlovy Vary;10.0
Côte d'Ivoire	Dimbokro;28.5	Dimbokro;34.6	Abidjan;24.6	Tabou;2111.98	Tabou;13.8	Abidjan;195.0	Abidjan;5.0	Abidjan;160.0	Tabou;76.0	Odienne;4.0	Abidjan;4.0
Democratic Republic of the Congo	KINSHASA/NDJILI;26.0	KINSHASA/NDJILI;30.6	KINSHASA/NDJILI;22.3	EMPTY;0.0	KINSHASA/NDJILI;10.6	KINSHASA/NDJILI;139.0	KINSHASA/NDJILI;1.0	KINSHASA/NDJILI;127.0	KINSHASA/NDJILI;10.0	KINSHASA/NDJILI;1.0	KINSHASA/NDJILI;2.0
Denmark	Soenderborg Lufthavn;11.6	Karup;14.1	ROESNAES;8.9	TORSHAVN;2165.85	AKRABERG;38.7	Soervaag / Vagar;335.0	Roenne;94.0	Skrydstrup;37.0	TORSHAVN;189.0	Tirstrup;3.0	Soervaag / Vagar;44.0
Djibouti	Djibouti;29.9	Djibouti;32.5	Djibouti;27.3	Djibouti;156.72	Djibouti;18.6	Djibouti;29.0	EMPTY;0.0	Djibouti;5.0	EMPTY;0.0	EMPTY;0.0	EMPTY;0.0
Dominica	Canefield Airport;28.3	Canefield Airport;32.0	Melville Hall Airport;23.9	Melville Hall Airport;3960.37	Melville Hall Airport;19.6	Canefield Airport;247.0	Melville Hall Airport;2.0	Canefield Airport;43.0	Melville Hall Airport;2.0	Melville Hall Airport;1.0	Melville Hall Airport;2.0
Dominican Republic	Barahona;29.1	Santiago;32.9	Puerto Plata International;24.2	Puerto Plata International;2160.5	Barahona;21.9	Las Americas;187.0	Las Americas;4.0	Las Americas;136.0	Santiago;38.0	Las Americas;1.0	SANTO DOMINGO;11.0
East Timor	Dilli / Dilli Airport;26.2	Dilli / Dilli Airport;30.7	Dilli / Dilli Airport;21.0	EMPTY;0.0	Dilli / Dilli Airport;4.3	Dilli / Dilli Airport;51.0	EMPTY;0.0	Dilli / Dilli Airport;40.0	EMPTY;0.0	EMPTY;0.0	EMPTY;0.0
